dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
Covertype,1,Full GBM,0.77115,0.23865771293640137,100.0,1.0,0.0,0.0,0.23865771293640137,,
Covertype,1,LazyGBM,0.766025,0.8849532604217529,80.9969,0.2696839749736177,0.005125000000000046,0.19003100000000006,0.23865771293640137,,3.0
Higgs,1,Baseline A - Full RF,0.72365,0.060256004333496094,100.0,1.0,0.0,0.0,0.060256004333496094,,
Higgs,1,Baseline B - Fixed Cascade,0.723475,2.058528423309326,82.345,0.029271397786496185,0.00017500000000003624,0.17654999999999998,0.060256004333496094,,
Higgs,1,Cascade RF (Two-Stage),0.723475,0.08824872970581055,90.9625,0.6827974128847848,0.00017500000000003624,0.09037499999999998,0.060256004333496094,0.9,
Higgs,1,LazyRF,0.722875,1.0478854179382324,39.7825,0.057502474318282655,0.0007749999999999702,0.602175,0.060256004333496094,0.95,
Higgs,1,Baseline C - QuickScorer,0.72365,285.4355397224426,100.0,0.00021110196856386209,0.0,0.0,0.060256004333496094,,
Higgs,1,Baseline D - Full BranchyNet,0.73125,0.001665353775024414,3.0,1.0,0.0,0.0,0.001665353775024414,,
Higgs,1,Baseline D - Early Exit BranchyNet,0.731125,0.00213623046875,2.46075,0.7795758928571429,0.00012499999999993072,0.17974999999999997,0.001665353775024414,,
Higgs,1,Full GBM,0.711575,0.04477691650390625,100.0,1.0,0.0,0.0,0.04477691650390625,,
Higgs,1,LazyGBM,0.711575,0.15138483047485352,73.949125,0.2957820566529229,0.0,0.26050875000000007,0.04477691650390625,,3.0
Credit Card,1,Baseline A - Full RF,0.999525,0.026463031768798828,100.0,1.0,0.0,0.0,0.026463031768798828,,
Credit Card,1,Baseline B - Fixed Cascade,0.999525,0.2095949649810791,10.084,0.12625795553432184,0.0,0.89916,0.026463031768798828,,
Credit Card,1,Cascade RF (Two-Stage),0.999525,0.043633222579956055,10.11,0.6064881345930027,0.0,0.8989,0.026463031768798828,0.9,
Credit Card,1,LazyRF,0.999525,0.2012174129486084,10.0165,0.13151462083233112,0.0,0.8998349999999999,0.026463031768798828,0.95,
Credit Card,1,Baseline C - QuickScorer,0.999525,275.8936240673065,100.0,9.591751842131355e-05,0.0,0.0,0.026463031768798828,,
Credit Card,1,Baseline D - Full BranchyNet,0.999275,0.0015943050384521484,3.0,1.0,0.0,0.0,0.0015943050384521484,,
