dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
MNIST,1,LazyGBM[s=4.00],0.9419,2.2210097312927246,81.0,0.0689359450126079,0.0040000000000000036,0.18999999999999995,0.1531074047088623,,4.0
Covertype,1,LazyRF[t=0.900],0.923525,1.5778467655181885,16.531,0.045388245245633514,0.0011499999999999844,0.83469,0.07161569595336914,0.9,
Covertype,1,LazyRF[t=0.970],0.92455,1.8273069858551025,21.52925,0.039191934638095866,0.00012500000000004174,0.7847075,0.07161569595336914,0.97,
Covertype,1,LazyRF[t=0.990],0.924725,2.090784788131714,25.8095,0.03425302133433044,-4.999999999999449e-05,0.741905,0.07161569595336914,0.99,
Covertype,1,LazyGBM[s=2.00],0.766025,0.8790152072906494,80.9866,0.2700066750622549,0.005125000000000046,0.19013400000000003,0.23733997344970703,,2.0
Covertype,1,LazyGBM[s=4.00],0.766025,0.8803696632385254,80.99885,0.26959126757801816,0.005125000000000046,0.1900115,0.23733997344970703,,4.0
Higgs,1,LazyRF[t=0.900],0.720675,0.9001860618591309,33.1505,0.06545223688399414,0.002975000000000061,0.6684950000000001,0.05891919136047363,0.9,
Higgs,1,LazyRF[t=0.970],0.722925,1.2175812721252441,48.56775,0.04839035611777464,0.0007249999999999757,0.5143225,0.05891919136047363,0.97,
Higgs,1,LazyRF[t=0.990],0.723275,1.4170546531677246,56.827,0.04157863017404726,0.0003750000000000142,0.43173000000000006,0.05891919136047363,0.99,
Higgs,1,LazyGBM[s=2.00],0.711575,0.1467273235321045,67.607875,0.3083736446226067,0.0,0.32392124999999994,0.04524683952331543,,2.0
Higgs,1,LazyGBM[s=4.00],0.711575,0.15490365028381348,77.9512,0.29209666421943226,0.0,0.22048800000000002,0.04524683952331543,,4.0
Credit Card,1,LazyRF[t=0.900],0.999525,0.19919586181640625,10.0145,0.13440169098778199,0.0,0.899855,0.026772260665893555,0.9,
Credit Card,1,LazyRF[t=0.970],0.999525,0.18630099296569824,10.03,0.14370433694265314,0.0,0.8996999999999999,0.026772260665893555,0.97,
Credit Card,1,LazyRF[t=0.990],0.999525,0.1928858757019043,10.0365,0.13879845047477077,0.0,0.899635,0.026772260665893555,0.99,
Credit Card,1,LazyGBM[s=2.00],0.99845,0.12701034545898438,95.843825,0.1394991740501577,0.0,0.041561750000000064,0.017717838287353516,,2.0
